WKT,name
"POLYGON ((-73.9802509 40.6472847, -73.9882147 40.6445231, -73.9806433 40.6400357, -73.9792914 40.64028, -73.9787979 40.6379516, -73.9783258 40.6376096, -73.9765449 40.6275459, -73.9669104 40.6323011, -73.9713245 40.6483592, -73.9731699 40.6475777, -73.9750582 40.6478708, -73.9802509 40.6472847))",Kensington
"POLYGON ((-73.9138771 40.6145873, -73.9149071 40.6140009, -73.9148642 40.6135123, -73.914478 40.6116553, -73.9155079 40.6110037, -73.9163233 40.6105476, -73.9160229 40.6103196, -73.9167525 40.6091793, -73.916495 40.6088209, -73.9167525 40.6068335, -73.9136196 40.6039011, -73.9109589 40.6034124, -73.9082981 40.6040966, -73.908856 40.6051067, -73.9099289 40.606019, -73.9090706 40.606638, -73.9086844 40.606638, -73.9079119 40.6063774, -73.9057661 40.6062796, -73.9052512 40.6049112, -73.9018179 40.6057583, -73.9023758 40.6104499, -73.9029766 40.610906, -73.9032771 40.6107757, -73.9035775 40.6114598, -73.9044358 40.6121114, -73.9044358 40.6125024, -73.9070107 40.6141964, -73.9080836 40.6152714, -73.9097144 40.6163465, -73.9092852 40.6168677, -73.9125038 40.6197669, -73.9172675 40.6195715, -73.9170529 40.6162162, -73.9244772 40.6113947, -73.9200999 40.607648, -73.9179541 40.609049, -73.9178683 40.6097657, -73.9181687 40.6101893, -73.9158512 40.6119811, -73.9166666 40.613382, -73.9145209 40.6149131, -73.9138771 40.6145873))",Mill Basin
"POLYGON ((-73.911729 40.586705, -73.9094115 40.5885627, -73.9083386 40.5910721, -73.9093686 40.5950152, -73.9103986 40.59873, -73.9366199 40.6223825, -73.9396668 40.6213402, -73.9409114 40.6204281, -73.9428855 40.6179849, -73.9448167 40.616063, -73.9434434 40.6090586, -73.9183808 40.5867376, -73.9171792 40.5875524, -73.914733 40.5887256, -73.9151193 40.5903225, -73.9166642 40.5911372, -73.9182092 40.592897, -73.91881 40.5930925, -73.9204837 40.5947871, -73.921857 40.5950152, -73.9225007 40.5957647, -73.9277364 40.6001637, -73.9288522 40.6003266, -73.9297963 40.6009783, -73.9309979 40.6014019, -73.9316846 40.602412, -73.9322425 40.6027378, -73.9311267 40.6038782, -73.9306975 40.6037153, -73.9300109 40.6041063, -73.9300109 40.6036176, -73.9294101 40.6039108, -73.9289809 40.6036501, -73.9297105 40.6029007, -73.9246465 40.5998379, -73.923874 40.5997727, -73.9231874 40.6012064, -73.9216424 40.6018581, -73.9197112 40.6009783, -73.9183808 40.600848, -73.9151193 40.5987626, -73.9141751 40.5972311, -73.9134027 40.5966771, -73.9131022 40.5960905, -73.9119435 40.5944938, -73.9118577 40.5917238, -73.9116002 40.5893123, -73.9121152 40.5885627, -73.911729 40.5872917, -73.9122439 40.5869006, -73.911729 40.586705))",Marine Park
"POLYGON ((-73.9220909 40.5975224, -73.9212326 40.5966426, -73.9190869 40.5953392, -73.9175419 40.5942638, -73.9162974 40.5927648, -73.9145808 40.5915264, -73.9132504 40.5920478, -73.9130787 40.5942638, -73.9141945 40.5953718, -73.9159111 40.5972943, -73.9161686 40.5980438, -73.9191298 40.5995427, -73.9211039 40.5995753, -73.9224343 40.5986629, -73.9220909 40.5975224))",Mau Mau Island
"POLYGON ((-73.9366199 40.6223825, -73.9244772 40.6113947, -73.9170529 40.6162162, -73.9172675 40.6195715, -73.9189841 40.6320537, -73.9201857 40.6333564, -73.9455916 40.631728, -73.9455916 40.6306207, -73.9475657 40.6304252, -73.9448167 40.616063, -73.9428855 40.6179849, -73.9409114 40.6204281, -73.9396668 40.6213402, -73.9366199 40.6223825))",Flatlands
"POLYGON ((-73.9189841 40.6320537, -73.9172675 40.6195715, -73.9125038 40.6197669, -73.9092852 40.6168677, -73.9090581 40.6171975, -73.9082857 40.6173604, -73.9078136 40.617165, -73.9035221 40.613158, -73.9022775 40.61192, -73.9014192 40.6119852, -73.9013334 40.6112359, -73.9001318 40.6101607, -73.900518 40.6090856, -73.9004322 40.6082711, -73.9008184 40.6072285, -73.9003034 40.6059904, -73.8982006 40.6053388, -73.8968702 40.6058275, -73.8962694 40.6055669, -73.8947673 40.6065443, -73.8933511 40.6066747, -73.8926645 40.6077172, -73.8925357 40.6079453, -73.8922353 40.6085318, -73.8921066 40.6090856, -73.8912912 40.6096069, -73.8899608 40.6110078, -73.8900466 40.6117897, -73.8913341 40.6120503, -73.8918491 40.6115616, -73.8937803 40.6113662, -73.8914629 40.6123435, -73.8906475 40.6134512, -73.8932224 40.6138421, -73.8948961 40.6139073, -73.8957973 40.6144937, -73.8957973 40.6140376, -73.8941665 40.6134512, -73.8942094 40.6128974, -73.895926 40.6127996, -73.896441 40.6141679, -73.8958831 40.6148846, -73.8965269 40.6162528, -73.8962265 40.6165786, -73.8964839 40.6172953, -73.8960548 40.6181422, -73.8961406 40.6203573, -73.8968273 40.62153, -73.898501 40.6218232, -73.9008184 40.6216603, -73.9014621 40.6228329, -73.9018484 40.6228655, -73.9023204 40.6232564, -73.9028783 40.6233867, -73.9027925 40.6241684, -73.9108606 40.6277188, -73.9124055 40.6286307, -73.9132638 40.6287284, -73.9165254 40.6303895, -73.9174266 40.6312037, -73.9189841 40.6320537))",Bergen Beach
"POLYGON ((-73.9201857 40.6333564, -73.9189841 40.6320537, -73.9174266 40.6312037, -73.9173754 40.6316292, -73.9164658 40.6321525, -73.9150925 40.6312405, -73.8961239 40.622772, -73.8941498 40.6235538, -73.8926907 40.6235538, -73.8914891 40.6245961, -73.8899441 40.6264201, -73.8881417 40.6280487, -73.8861676 40.6287001, -73.8851376 40.6287001, -73.8838501 40.6275927, -73.882906 40.6285047, -73.884451 40.6294167, -73.8835068 40.6313057, -73.8809319 40.632869, -73.8771554 40.6355395, -73.878357 40.6380797, -73.8794728 40.6380797, -73.8808461 40.6398383, -73.8871975 40.6453089, -73.8915749 40.6489558, -73.8926049 40.6486953, -73.8982697 40.6530583, -73.8992138 40.6555327, -73.9202424 40.6427039, -73.9192124 40.6374284, -73.9227315 40.6356047, -73.9226456 40.6331947, -73.9201857 40.6333564))",Canarsie
"POLYGON ((-74.00234 40.5724539, -74.003842 40.5803258, -74.0061487 40.5800569, -74.0065671 40.5819555, -74.0076615 40.5819066, -74.0112235 40.5804725, -74.0123822 40.5795273, -74.0128543 40.5780279, -74.0123822 40.5774738, -74.0122534 40.5757462, -74.0114381 40.5748009, -74.0093352 40.5739534, -74.0076615 40.5739534, -74.0053441 40.5733666, -74.0034129 40.5725191, -74.002855 40.5724865, -74.0025975 40.5720301, -74.00234 40.5724539))",Sea Gate
"POLYGON ((-73.9683905 40.5733583, -73.9636269 40.5738798, -73.9602795 40.5740754, -73.9594212 40.5739776, -73.9589063 40.5740428, -73.9577046 40.5741732, -73.9566747 40.5741406, -73.9560738 40.5743688, -73.953456 40.5743036, -73.9537564 40.5766505, -73.9541427 40.5773024, -73.9549151 40.5818656, -73.9561597 40.5826153, -73.9574042 40.5832997, -73.9576617 40.5848641, -73.9667598 40.5840493, -73.9688626 40.5751837, -73.9683905 40.5733583))",Brighton Beach
"POLYGON ((-73.9561597 40.5826153, -73.9549151 40.5818656, -73.953456 40.5743036, -73.9526001 40.5742197, -73.9520851 40.5744805, -73.9460341 40.5750672, -73.9463345 40.5753932, -73.9454333 40.5757843, -73.9446608 40.5753606, -73.944575 40.5758821, -73.9426009 40.5757192, -73.9421288 40.5753606, -73.936936 40.5756214, -73.9366785 40.5759799, -73.9359919 40.5759147, -73.9346186 40.5755888, -73.9315716 40.5758495, -73.9311854 40.5763711, -73.9326016 40.5812603, -73.9329878 40.5810647, -73.9428583 40.5809343, -73.949639 40.5821729, -73.9533297 40.5818796, -73.9535229 40.5830366, -73.9544026 40.5829062, -73.9561597 40.5826153))",Manhattan Beach
